arm,keep_budget,acc,acc_ci95_lo,acc_ci95_hi,d_acc_vs_full,d_acc_ci95_lo,d_acc_ci95_hi,mean_tokens,tokens_ci95_lo,tokens_ci95_hi,relay_mb,relay_positions,compress_ratio_vs_full
full,,0.63,0.54,0.73,0.0,0.0,0.0,1303.7,1176.088,1426.6052499999998,104.9421875,671.63,1.0
B16,16,0.55,0.46,0.65,-0.08,-0.15,-0.02,1493.72,1374.04425,1607.83225,2.5,16.0,41.976875
B32,32,0.57,0.48,0.67,-0.06,-0.12,-0.01,1430.87,1308.8662499999998,1547.8634999999997,5.0,32.0,20.9884375
B64,64,0.63,0.54,0.7202499999999986,0.0,-0.05,0.05,1341.82,1215.25075,1460.3794999999998,10.0,64.0,10.49421875
B128,128,0.64,0.54,0.74,0.01,-0.04,0.06,1197.25,1065.59775,1315.3844999999994,20.0,128.0,5.247109375
none,,0.55,0.46,0.65,-0.08,-0.14,-0.03,1551.58,1440.596,1656.8272499999998,0.0,0.0,
