arm,keep_budget,acc,acc_ci95_lo,acc_ci95_hi,d_acc_vs_full,d_acc_ci95_lo,d_acc_ci95_hi,mean_tokens,tokens_ci95_lo,tokens_ci95_hi,relay_mb,relay_positions,compress_ratio_vs_full
full,,0.7,0.61,0.79,0.0,0.0,0.0,1304.41,1193.6285,1416.59575,101.6046875,650.27,1.0
B16,16,0.59,0.49,0.6802499999999987,-0.11,-0.18,-0.05,1503.9,1393.5417499999999,1611.1777499999998,2.5,16.0,40.641875
B32,32,0.6,0.5,0.7,-0.1,-0.16,-0.05,1412.28,1293.002,1531.20625,5.0,32.0,20.3209375
B64,64,0.71,0.61,0.8,0.01,-0.04,0.06,1303.04,1188.98925,1422.8374999999996,10.0,64.0,10.16046875
B128,128,0.72,0.63,0.8002499999999987,0.02,-0.04,0.08,1135.89,1023.826,1258.6902499999999,20.0,128.0,5.080234375
none,,0.56,0.46,0.66,-0.14,-0.21,-0.08,1610.51,1506.9335,1707.4305000000002,0.0,0.0,
